time;logger;level;message;exception
2012-01-14 16:27:20.2015;Raven.Database.Impl.DocumentCacher;Info;"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 2142240768
  PollingInterval     = 00:02:00";
2012-01-14 16:27:20.2655;Raven.Storage.Esent.TransactionalStorage;Info;"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096";
2012-01-14 16:27:23.2024;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
where  Tag != null 
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			where Tag != null
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
where  Tag != null 
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			where Tag != null
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
";
2012-01-14 16:27:23.2504;Raven.Database.Indexing.IndexStorage;Debug;Loading saved index Raven/DocumentsByEntityName;
2012-01-14 16:27:23.3764;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for Raven/DocumentsByEntityName;
2012-01-14 16:27:23.5054;Raven.Database.DocumentDatabase;Debug;Delete a document with key: Raven/Backup/Status and etag ;
2012-01-14 16:27:23.5264;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Backup/Status' was not found, and considered deleted;
2012-01-14 16:27:23.5264;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 1 - step 1/2;
2012-01-14 16:27:23.5264;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 2 - step 2/2;
2012-01-14 16:27:23.6564;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-01-14 16:27:23.7964;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-01-14 16:27:23.7964;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-01-14 16:27:23.7964;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-01-14 16:34:50.3072;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-01-14 16:34:50.3518;Raven.Database.Server.HttpServer;Debug;Request #   1: GET     -   108 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-01-14 16:34:50.8198;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index Temp%2fPosts:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fPosts : AbstractViewGenerator
{
	public Index_Temp_2fPosts()
	{
		this.ViewText = @""from doc in docs.Posts
select new {  }
"";
		this.ForEntityNames.Add(""Posts"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""Posts""
			select new { __document_id = doc.__document_id });
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fPosts : AbstractViewGenerator
{
	public Index_Temp_2fPosts()
	{
		this.ViewText = @""from doc in docs.Posts
select new {  }
"";
		this.ForEntityNames.Add(""Posts"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""Posts""
			select new { __document_id = doc.__document_id });
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
";
2012-01-14 16:34:50.9448;Raven.Database.Indexing.IndexStorage;Info;Creating index Temp/Posts with encoded name Temp/Posts;
2012-01-14 16:34:51.5973;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for Temp/Posts;
