time;logger;level;message;exception
2012-01-15 00:06:48.6518;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 104, currentWorkCounter: 104, will wait for additional work;
2012-01-15 00:16:19.1145;Raven.Database.Server.HttpServer;Debug;Request # 213: GET     -    26 ms - <default>  - 200 - /stats?noCache=903924010;
2012-01-15 00:16:48.6523;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 104, currentWorkCounter: 104, will wait for additional work;
2012-01-15 00:26:48.6528;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 104, currentWorkCounter: 104, will wait for additional work;
2012-01-15 00:30:04.7940;Raven.Database.Server.HttpServer;Debug;Request # 214: GET     -    32 ms - <default>  - 200 - /stats?noCache=-538952366;
2012-01-15 00:30:21.1177;Raven.Database.Server.HttpServer;Debug;Request # 215: GET     -    44 ms - <default>  - 200 - /stats?noCache=-1270930828;
2012-01-15 00:36:48.6536;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 104, currentWorkCounter: 104, will wait for additional work;
2012-01-15 00:46:48.6538;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 104, currentWorkCounter: 104, will wait for additional work;
2012-01-15 00:51:58.6978;Raven.Database.Server.HttpServer;Debug;Request # 216: GET     -    39 ms - <default>  - 200 - /docs/?start=0&pageSize=70&noCache=1734289318;
2012-01-15 00:56:48.6547;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 104, currentWorkCounter: 104, will wait for additional work;
2012-01-15 00:56:48.6547;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 104, currentWorkCounter: 104, will wait for additional work;
2012-01-15 00:56:48.6547;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 104, currentWorkCounter: 104, will wait for additional work;
2012-01-15 00:56:48.7287;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 104, currentWorkCounter: 104, will wait for additional work;
2012-01-15 01:04:52.0006;Raven.Database.Server.HttpServer;Debug;Request # 217: GET     -    30 ms - <default>  - 200 - /stats?noCache=1448381314;
2012-01-15 01:06:48.6553;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 104, currentWorkCounter: 104, will wait for additional work;
2012-01-15 01:07:40.8012;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'posts/33' was found;
2012-01-15 01:07:40.8012;Raven.Database.Server.HttpServer;Debug;Request # 218: GET     -     1 ms - <default>  - 200 - /docs/posts/33;
2012-01-15 01:07:40.8012;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-01-15 01:07:40.8012;Raven.Database.Server.HttpServer;Debug;Request # 219: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-01-15 01:10:02.3333;Raven.Database.Server.HttpServer;Debug;Request # 220: GET     -    30 ms - <default>  - 200 - /stats?noCache=-1728732295;
2012-01-15 01:13:06.4029;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-01-15 01:13:06.4029;Raven.Database.Server.HttpServer;Debug;Request # 221: GET     -     9 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-01-15 01:13:06.6429;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index Temp%2fPosts:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fPosts : AbstractViewGenerator
{
	public Index_Temp_2fPosts()
	{
		this.ViewText = @""from doc in docs.Posts
select new {  }
"";
		this.ForEntityNames.Add(""Posts"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""Posts""
			select new { __document_id = doc.__document_id });
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fPosts : AbstractViewGenerator
{
	public Index_Temp_2fPosts()
	{
		this.ViewText = @""from doc in docs.Posts
select new {  }
"";
		this.ForEntityNames.Add(""Posts"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""Posts""
			select new { __document_id = doc.__document_id });
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
";
2012-01-15 01:13:06.6519;Raven.Database.Indexing.IndexStorage;Info;Creating index Temp/Posts with encoded name Temp/Posts;
2012-01-15 01:13:06.6519;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for Temp/Posts;
2012-01-15 01:13:06.6519;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 105 - step 1/2;
